Time,Distance,GPS_Speed,GPS_Latitude,GPS_Longitude
0,0,138.375,-33.39607857,-60.20151425
0.1,0.004,138.930008,-33.39609947,-60.2014807
0.2,0.008,139.585007,-33.39612038,-60.20144685
0.3,0.012,140.230011,-33.39614129,-60.20141281
0.4,0.016,140.830002,-33.39616222,-60.20137859
0.5,0.019,141.375,-33.39618315,-60.20134422
0.6,0.023,141.880005,-33.39620431,-60.20130935
0.7,0.027,142.324005,-33.39622532,-60.20127471
0.8,0.031,142.779999,-33.3962464,-60.20123997
0.9,0.035,143.279999,-33.39626754,-60.20120514
1,0.039,143.779999,-33.39628876,-60.20117019
1.1,0.043,144.279999,-33.3963101,-60.20113511
1.2,0.047,144.723999,-33.39633144,-60.20110003
1.3,0.051,145.180008,-33.39635293,-60.20106476
1.4,0.055,145.680008,-33.39637447,-60.20102943
1.5,0.06,146.124008,-33.39639606,-60.20099405
1.6,0.064,146.580002,-33.39641776,-60.20095852
1.7,0.068,147.080002,-33.39643957,-60.20092288
1.8,0.072,147.528,-33.3964617,-60.2008868
1.9,0.076,147.871002,-33.39648369,-60.20085099
2,0.08,148.228012,-33.39650578,-60.20081511
2.1,0.084,148.685013,-33.396528,-60.2007792
2.2,0.088,149.128006,-33.39655038,-60.20074323
2.3,0.092,149.528,-33.39657289,-60.20070723
2.4,0.097,149.985001,-33.39659553,-60.2006712
2.5,0.101,150.428009,-33.39661829,-60.20063513
2.6,0.105,150.828003,-33.39664116,-60.20059903
2.7,0.109,151.228012,-33.39666417,-60.20056286
2.8,0.113,151.628006,-33.39668726,-60.20052665
2.9,0.118,152.028,-33.39671044,-60.20049039
3,0.122,152.373993,-33.39673394,-60.20045372
3.1,0.126,152.73201,-33.3967573,-60.20041737
3.2,0.13,153.132004,-33.39678077,-60.20038097
3.3,0.135,153.473999,-33.39680435,-60.20034455
3.4,0.139,153.832001,-33.39682802,-60.20030812
3.5,0.143,154.173996,-33.3968518,-60.20027168
3.6,0.148,154.473999,-33.39687568,-60.20023524
3.7,0.152,154.716003,-33.39689969,-60.20019881
3.8,0.156,154.973999,-33.39692378,-60.20016237
3.9,0.16,155.158005,-33.39694796,-60.20012593
4,0.165,155.373993,-33.39697222,-60.20008947
4.1,0.169,155.617996,-33.39699678,-60.20005262
4.2,0.173,155.876999,-33.39702118,-60.20001608
4.3,0.178,156.177002,-33.39704564,-60.19997949
4.4,0.182,156.477005,-33.39707015,-60.19994287
4.5,0.186,156.718002,-33.39709472,-60.1999062
4.6,0.191,156.977005,-33.39711934,-60.1998695
4.7,0.195,157.335999,-33.39714405,-60.19983276
4.8,0.2,157.617996,-33.39716881,-60.199796
4.9,0.204,157.759003,-33.39719364,-60.19975924
5,0.208,157.917999,-33.39721853,-60.19972246
5.1,0.213,158.117996,-33.39724349,-60.19968566
5.2,0.217,158.318008,-33.39726852,-60.19964883
5.3,0.222,158.580002,-33.39729387,-60.19961159
5.4,0.226,158.820007,-33.39731901,-60.19957466
5.5,0.23,159.020004,-33.3973442,-60.19953768
5.6,0.235,159.280014,-33.39736944,-60.19950064
5.7,0.239,159.639999,-33.39739471,-60.19946353
5.8,0.244,159.860001,-33.39742002,-60.19942639
5.9,0.248,159.960007,-33.39744534,-60.19938923
6,0.253,160.059998,-33.3974707,-60.19935205
6.1,0.257,160.160004,-33.39749608,-60.19931488
6.2,0.262,160.259995,-33.39752149,-60.19927771
6.3,0.266,160.419998,-33.39754694,-60.19924052
6.4,0.27,160.559998,-33.39757241,-60.19920331
6.5,0.275,160.660995,-33.39759818,-60.19916566
6.6,0.279,160.882996,-33.39762371,-60.19912832
6.7,0.284,161.244003,-33.39764927,-60.19909088
6.8,0.288,161.522003,-33.39767485,-60.19905334
6.9,0.293,161.783005,-33.39770045,-60.19901572
7,0.297,162.022003,-33.39772605,-60.19897802
7.1,0.302,162.283005,-33.39775167,-60.19894024
7.2,0.306,162.460999,-33.39777731,-60.19890239
7.3,0.311,162.682999,-33.39780298,-60.19886449
7.4,0.315,162.921997,-33.39782867,-60.19882654
7.5,0.32,163.121994,-33.39785439,-60.19878856
7.6,0.325,163.324005,-33.3978804,-60.19875016
7.7,0.329,163.524002,-33.39790622,-60.19871211
7.8,0.334,163.723999,-33.39793207,-60.19867402
7.9,0.338,163.923996,-33.39795798,-60.1986359
8,0.343,164.123993,-33.39798393,-60.19859775
8.1,0.347,164.324005,-33.39800991,-60.19855957
8.2,0.352,164.524002,-33.39803596,-60.19852135
8.3,0.356,164.723999,-33.39806204,-60.19848309
8.4,0.361,164.862,-33.39808817,-60.1984448
8.5,0.366,165.024002,-33.39811434,-60.19840647
8.6,0.37,165.223999,-33.39814057,-60.19836813
8.7,0.375,165.423996,-33.39816686,-60.19832975
8.8,0.379,165.625992,-33.39819347,-60.19829098
8.9,0.384,165.826004,-33.39821987,-60.19825258
9,0.389,166.026001,-33.39824632,-60.19821416
9.1,0.393,166.162994,-33.3982728,-60.19817573
9.2,0.398,166.326004,-33.39829933,-60.19813728
9.3,0.403,166.462997,-33.39832587,-60.19809881
9.4,0.407,166.563004,-33.39835243,-60.19806031
9.5,0.412,166.662994,-33.398379,-60.19802178
9.6,0.416,166.763,-33.39840558,-60.19798322
9.7,0.421,166.925995,-33.39843218,-60.19794463
9.8,0.426,167.063004,-33.39845879,-60.19790599
9.9,0.43,167.162994,-33.39848542,-60.19786733
10,0.435,167.328003,-33.39851233,-60.19782826
10.1,0.44,167.464005,-33.39853898,-60.19778955
10.2,0.444,167.531998,-33.39856564,-60.19775081
10.3,0.449,167.582001,-33.39859231,-60.19771206
10.4,0.454,167.664001,-33.39861897,-60.1976733
10.5,0.458,167.667999,-33.39864562,-60.19763455
10.6,0.463,167.617996,-33.39867226,-60.1975958
10.7,0.468,167.535995,-33.39869887,-60.19755709
10.8,0.472,167.436005,-33.39872547,-60.19751844
10.9,0.477,167.335999,-33.39875204,-60.19747982
11,0.482,167.172012,-33.3987786,-60.19744126
11.1,0.486,167.035004,-33.39880539,-60.19740236
11.2,0.491,166.935013,-33.39883192,-60.19736385
11.3,0.496,166.770004,-33.39885841,-60.19732542
11.4,0.5,166.569992,-33.39888489,-60.197287
11.5,0.505,166.435013,-33.39891136,-60.19724861
11.6,0.509,166.270004,-33.3989378,-60.19721027
11.7,0.514,166.13501,-33.39896423,-60.19717193
11.8,0.519,166.035004,-33.39899064,-60.19713362
11.9,0.523,165.935013,-33.39901704,-60.1970953
12,0.528,165.867508,-33.39904345,-60.19705696
12.1,0.532,165.817505,-33.39906988,-60.19701858
12.2,0.537,165.767502,-33.39909631,-60.19698021
12.3,0.542,165.716995,-33.399123,-60.19694148
12.4,0.546,165.832001,-33.39914937,-60.19690323
12.5,0.551,165.636002,-33.39917565,-60.19686513
12.6,0.556,164.972,-33.39920177,-60.19682725
12.7,0.56,164.039993,-33.39922764,-60.1967897
12.8,0.565,162.709991,-33.39925317,-60.19675259
12.9,0.569,160.682007,-33.39927836,-60.1967159
13,0.573,158.514008,-33.39930321,-60.19667963
13.1,0.578,156.348007,-33.3993277,-60.19664382
13.2,0.582,153.884003,-33.3993518,-60.19660854
13.3,0.586,151.746002,-33.3993756,-60.19657378
13.4,0.59,149.893997,-33.39939941,-60.19653915
13.5,0.595,148.161011,-33.39942282,-60.19650535
13.6,0.599,146.461014,-33.39944609,-60.19647207
13.7,0.603,144.895004,-33.39946925,-60.19643941
13.8,0.607,143.328003,-33.39949235,-60.19640742
13.9,0.611,141.661011,-33.39951541,-60.19637601
14,0.615,140.095001,-33.39953845,-60.19634515
14.1,0.618,138.662003,-33.3995615,-60.19631483
14.2,0.622,137.32901,-33.39958457,-60.19628511
14.3,0.626,136.16301,-33.39960771,-60.19625591
14.4,0.63,135.264008,-33.39963094,-60.19622715
14.5,0.633,134.397003,-33.39965428,-60.19619884
14.6,0.637,133.556,-33.399678,-60.19617071
14.7,0.641,132.891998,-33.39970169,-60.19614342
14.8,0.645,132.156006,-33.39972564,-60.19611677
14.9,0.648,131.492004,-33.39974984,-60.19609068
15,0.652,130.891998,-33.39977433,-60.19606518
15.1,0.655,130.360001,-33.39979912,-60.19604028
15.2,0.659,129.927994,-33.39982428,-60.19601608
15.3,0.663,129.528,-33.39984983,-60.19599257
15.4,0.666,129.332001,-33.3998757,-60.19596965
15.5,0.67,129.028,-33.39990188,-60.19594734
15.6,0.673,128.628006,-33.39992834,-60.19592564
15.7,0.677,128.296005,-33.39995511,-60.19590467
15.8,0.681,127.785995,-33.39998243,-60.19588434
15.9,0.684,127.117004,-33.40000968,-60.19586497
16,0.688,126.486,-33.40003714,-60.19584637
16.1,0.691,125.748001,-33.40006479,-60.19582858
16.2,0.695,124.948006,-33.40009265,-60.19581172
16.3,0.698,124.286003,-33.40012072,-60.19579584
16.4,0.701,123.754997,-33.40014896,-60.19578077
16.5,0.705,123.254997,-33.40017735,-60.19576651
16.6,0.708,122.824005,-33.4002059,-60.19575305
16.7,0.712,122.493004,-33.40023462,-60.19574053
16.8,0.715,122.124001,-33.40026353,-60.19572906
16.9,0.719,121.650002,-33.40029289,-60.19571842
17,0.722,121.220001,-33.40032213,-60.19570886
17.1,0.725,120.959999,-33.40035155,-60.19570033
17.2,0.729,120.690002,-33.40038117,-60.19569298
17.3,0.732,120.459999,-33.40041098,-60.19568692
17.4,0.735,120.365005,-33.40044091,-60.19568193
17.5,0.739,120.315002,-33.40047092,-60.19567801
17.6,0.742,120.230003,-33.40050093,-60.19567514
17.7,0.745,120.129997,-33.40053075,-60.19567347
17.8,0.749,119.959999,-33.4005607,-60.19567306
17.9,0.752,119.690002,-33.40059059,-60.19567371
18,0.755,119.389999,-33.40062036,-60.19567547
18.1,0.759,119.229004,-33.4006503,-60.19567836
18.2,0.762,119.057999,-33.40067979,-60.19568249
18.3,0.765,118.929001,-33.40070908,-60.19568797
18.4,0.769,118.758003,-33.40073821,-60.19569456
18.5,0.772,118.628998,-33.40076714,-60.19570225
18.6,0.775,118.528999,-33.40079586,-60.195711
18.7,0.778,118.4645,-33.40082432,-60.19572096
18.8,0.782,118.414497,-33.40085244,-60.19573213
